a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.54+2+g204a4ab-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.30-1
adapta-maia-theme 3.94.0.149-1
adwaita-icon-theme 3.30.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.7-1
alsa-plugins 1.1.7-3
alsa-utils 1.1.7-1
android-studio 3.2.1.0-1
android-tools 9.0.0_r3-1
android-udev 20181031-1
aom 1.0.0-1
appstream-glib 0.7.14-1
apr 1.6.5-1
apr-util 1.6.1-3
archlinux-appstream-data 20181016-1
archlinux-keyring 20181031-1
argon2 20171227-3
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.28.0-1
attica 5.51.0-1
attr 2.4.48-1
audacious 3.10-1
audacious-plugins 3.10-1
audit 2.8.4-2
augeas 1.11.0-1
aurman 2.18-1
autoconf 2.69-4
autogen 5.18.12-2
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
b43-fwcutter 019-2
babl 0.1.58-1
bash 4.4.023-2
bashrc-manjaro 4.4.023-2
bc 1.07.1-1
binutils 2.31.1-3
bison 3.1-1
blas 3.8.0-2
bluez 5.50-3
bluez-libs 5.50-3
boost 1.68.0-2
boost-libs 1.68.0-2
breath-wallpaper 0.4.0-1
bridge-utils 1.6-2
broadcom-wl-dkms 6.30.223.271-5
brotli 1.0.7-1
btrfs-progs 4.17.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.40-1
ca-certificates-utils 20180821-1
cabextract 1.6-3
cairo 1.16.0-1
cairomm 1.12.2-2
cantarell-fonts 1:0.111-1
ccache 3.5-1
cdparanoia 10.2-7
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 13.2.1-2
chromaprint 1.4.3-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clang 7.0.0-1
cloog 0.20.0-1
clucene 2.3.3.4-10
cmake 3.12.4-1
colord 1.4.3-2
colord-sane 1.4.3-2
compiler-rt 7.0.0-2
compton 3.0-2
compton-conf 0.3.0-1
confuse 3.2.2-1
coreutils 8.30-1
cower 18-1
cppcheck 1.85-1
cpupower 4.19-1
cracklib 2.9.6-1
crda 4.14-1
cronie 1.5.2-1
cryptsetup 2.0.5-1
ctags 5.8-6
ctpl 0.3.4-2
cups 2.2.8-3
cups-filters 1.21.3-3
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-1
curl 7.62.0-1
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.1-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.182-1
dhclient 4.4.1-4
dhcpcd 7.0.8-0
diffutils 3.6-1
ding-libs 0.6.1-2
dkms 2.5-4
dmenu-manjaro 4.8-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-1
dnssec-anchors 20181003-1
dosfstools 4.1-1
double-conversion 3.1.1-1
e2fsprogs 1.44.4-1
ebtables 2.0.10_4-6
ecryptfs-utils 111-2
efibootmgr 16-1
efivar 35-1
enca 1.19-2
enchant 2.2.3-1
exfat-utils 1.3.0-1
exiv2 0.26-2
exo-gtk3 0.12.3-1
expac 9-1
expat 2.2.6-1
f2fs-tools 1.11.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.0.3-1
fftw 3.3.8-1
file 5.35-1
filesystem 2018.9-1
findutils 4.6.0-2
firefox 63.0.1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.0.0-2
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.6-1
fuse2 2.9.8-1
gamin 0.1.10-9
garcon-gtk3 0.6.1-4
gawk 4.2.1-1
gc 7.6.8-1
gcab 1.0+2+gc0947f6-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.0-4
gd 2.2.5-1
gdbm 1.18-1
gdk-pixbuf2 2.38.0-1
geany 1.33.0-2
geany-plugins 1.33-3
gegl 0.4.12-0
geoclue2 2.5.1-1
gettext 0.19.8.1-2
ghostscript 9.25-4
giblib 1.2.4-7
giflib 5.1.4-1
gimp 2.10.6-2
git 2.19.1-1
gksu-polkit 0.0.3-1
glew 2.1.0-1
glib-networking 2.58.0-1
glib2 2.58.0-1.1
glibc 2.28-5
glibmm 2.56.0-1
glpk 4.65-2
glu 9.0.0-5
glusterfs 1:5.0-2
gmp 6.1.2-1
gn 0.1480.a676103b-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-themes-extra 3.28-1
gnupg 2.2.10-1
gnustep-base 1.25.1-4
gnutls 3.5.19-2
gobject-introspection-runtime 1.58.0+8+gfdaa3b1a-1
gperftools 2.7-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.2-1
graphite 1:1.3.12-1
grep 3.1-1
groff 1.22.3-7
grub 2.03.1-2
grub-customizer 5.1.0-1
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gsm 1.0.18-1
gssproxy 0.8.0-1
gst-libav 1.14.4-1
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-1
gst-plugins-ugly 1.14.4-1
gstreamer 1.14.4-1
gtk-sharp-2 2.12.45-1
gtk-update-icon-cache 3.24.1+33+g615fa7cfb6-0
gtk-vnc 0.9.0-1
gtk2 2.24.32-1
gtk3 3.24.1+33+g615fa7cfb6-0
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtkspell3 3.0.9-3
guile 2.2.4-1
guile2.0 2.0.14-1
gutenprint 5.3.1-1
gvfs 1.38.1-1
gvfs-afc 1.38.1-1
gvfs-gphoto2 1.38.1-1
gvfs-mtp 1.38.1-1
gvfs-nfs 1.38.1-1
gvfs-smb 1.38.1-1
gzip 1.9-1
harfbuzz 2.1.0-1
harfbuzz-icu 2.1.0-1
haveged 1.9.4-3
hdparm 9.57-1
hicolor-icon-theme 0.17-1
hplip 1:3.18.6-2
hspell 1.4-1
htop 2.2.0-2
http-parser 2.8.1-1
hunspell 1.6.2-1
hunspell-en_US 2018.04.16-5
hwids 20180518-1
hwinfo 21.58-1
hyphen 2.8.8-2
i3-wm 4.16-1
i3lock 2.10-1
i3status 2.12-1
iana-etc 20180913-1
icu 63.1-2
ijs 0.35-1
illyria-wallpaper 1.4-1
ilmbase 2.3.0-1
imagemagick 7.0.8.14-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.5.1-1
inetutils 1.9.4-5
iniparser 4.1-1
intel-tbb 2019-1
intel-ucode 20180807.a-1
inxi 3.0.27-1
iproute2 4.19.0-1
iptables 1:1.8.0-1
iputils 20180629.f6aac8d-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
isl 0.20-4
iso-codes 3.79-1
iw 4.14-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.15-1
jdk8-openjdk 8.u192-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
jq 1.5-6
jre8-openjdk 8.u192-1
jre8-openjdk-headless 8.u192-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
karchive 5.51.0-1
kauth 5.51.0-1
kbd 2.0.4-1
kcodecs 5.51.0-1
kcompletion 5.51.0-1
kconfig 5.51.0-1
kconfigwidgets 5.51.0-1
kcoreaddons 5.51.0-1
kcrash 5.51.0-1
kdbusaddons 5.51.0-1
keyutils 1.5.11-1
kglobalaccel 5.51.0-1
kguiaddons 5.51.0-1
ki18n 5.51.0-1
kiconthemes 5.51.0-2
kidletime 5.51.0-1
kitemmodels 5.51.0-1
kitemviews 5.51.0-1
kjobwidgets 5.51.0-1
kmod 25-1
knotifications 5.51.0-1
kpty 5.51.0-1
krb5 1.16.1-1
kservice 5.51.0-1
kwayland 5.51.0-1
kwidgetsaddons 5.51.0-1
kwindowsystem 5.51.0-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.3.6-1
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
leveldb 1.20-1
lib32-acl 2.2.53-1
lib32-alsa-lib 1.1.7-1
lib32-alsa-plugins 1.1.7-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.6-3
lib32-dbus 1.12.10-1
lib32-expat 2.2.6-1
